     0 	      0
   820 	      0
 24795 	      2
 27989 	      2
 -4376 	     -6
-16863 	     -4
  -731 	     -6
  7072 	      0
 12912 	      1
  -255 	     -6
 -7911 	     -5
 -8210 	     -5
 -1365 	     -6
-17822 	     -4
  8464 	      0
 14873 	      1
-24922 	     -4
-21375 	     -4
 -5616 	     -5
  1705 	      0
 -6045 	     -5
 -3056 	     -6
 -4995 	     -6
  -151 	     -6
  7887 	      0
 18003 	      1
 14069 	      1
 12500 	      1
 11714 	      1
 11320 	      1
 15316 	      1
 -5375 	     -6
-10471 	     -5
 -7926 	     -5
 -4011 	     -6
 31172 	      3
-24360 	     -4
 20998 	      2
 10909 	      1
-26904 	     -3
-21839 	     -4
 -1937 	     -6
  7632 	      0
 -1575 	     -6
  -379 	     -6
 -9172 	     -5
 -3578 	     -6
  6812 	      0
-28472 	     -3
 -6503 	     -5
 -4951 	     -6
-16029 	     -4
 32672 	      3
-16022 	     -4
-11264 	     -5
 -8886 	     -5
 10200 	      1
-12521 	     -5
  -933 	     -6
 -1373 	     -6
-28686 	     -3
-13933 	     -5
 -9893 	     -5
-16066 	     -4
-27346 	     -3
 -4822 	     -6
   547 	      0
 11695 	      1
 13562 	      1
 -1918 	     -6
 -3288 	     -6
 -3974 	     -6
  5712 	      0
  9635 	      0
 18807 	      1
  1125 	      0
  3111 	      0
-31872 	     -3
-31301 	     -3
  9031 	      0
 19256 	      1
 -8362 	     -5
 21813 	      2
 18616 	      1
  -779 	     -6
  8612 	      0
  4716 	      0
  2768 	      0
 -6885 	     -5
 -3033 	     -6
  3232 	      0
 26697 	      2
 13758 	      1
 12492 	      1
 12174 	      1
-10660 	     -5
-14837 	     -5
 -3994 	     -6
 -2514 	     -6
 -4182 	     -6
 -8207 	     -5
  8711 	      0
  7422 	      0
-19167 	     -4
 23594 	      2
 12207 	      1
 15690 	      1
 25622 	      2
  7397 	      0
  4107 	      0
  3276 	      0
  2047 	      0
  2660 	      0
 -5226 	     -6
-11316 	     -5
-17385 	     -4
  6726 	      0
 12348 	      1
  2296 	      0
-31210 	     -3
-15195 	     -5
 25580 	      2
 14675 	      1
-28853 	     -3
  7648 	      0
  2525 	      0
  1244 	      0
  9223 	      0
  5232 	      0
 -9368 	     -5
-12466 	     -5
-16553 	     -4
  1594 	      0
  1980 	      0
 -9544 	     -5
 -5353 	     -6
 30997 	      3
 15908 	      1
 14383 	      1
 21812 	      2
-21870 	     -4
-11821 	     -5
-14989 	     -5
  -765 	     -6
  4517 	      0
 26065 	      2
 18795 	      1
 15159 	      1
 -9191 	     -5
 -9891 	     -5
 -8300 	     -5
-15698 	     -4
-25741 	     -3
-15899 	     -4
 25228 	      2
 28067 	      2
-27858 	     -3
 -4321 	     -6
 -7217 	     -5
 -8821 	     -5
-23917 	     -4
-11549 	     -5
 -6010 	     -5
 -3242 	     -6
  2202 	      0
-12242 	     -5
-11899 	     -5
   861 	      0
 -5733 	     -5
 -5725 	     -5
-13915 	     -5
-26204 	     -3
  2866 	      0
 13618 	      1
 15410 	      1
  1306 	      0
  1063 	      0
   941 	      0
  1851 	      0
 -6115 	     -5
-19653 	     -4
-25742 	     -3
  2104 	      0
 -6731 	     -5
 -2315 	     -6
  3028 	      0
-30236 	     -3
 -8258 	     -5
-11911 	     -5
  -151 	     -6
   334 	      0
 -1488 	     -6
   363 	      0
   590 	      0
 -9421 	     -5
  5932 	      0
   295 	      0
  7731 	      0
 10415 	      1
 17419 	      1
  9119 	      0
  7472 	      0
 -8197 	     -5
 -9628 	     -5
-12597 	     -5
-15676 	     -4
  8172 	      0
 11848 	      1
 23334 	      2
-20691 	     -4
-18184 	     -4
 -6746 	     -5
 -2964 	     -6
 16531 	      1
 26295 	      2
 10975 	      1
 11450 	      1
 16763 	      1
 -4717 	     -6
   705 	      0
 -6018 	     -5
 -3633 	     -6
-14393 	     -5
-13799 	     -5
-21696 	     -4
 31698 	      3
  8061 	      0
 18830 	      1
  1272 	      0
-31722 	     -3
-15451 	     -5
-22796 	     -4
  6978 	      0
 -2147 	     -6
  4561 	      0
 25588 	      2
-10027 	     -5
-15451 	     -5
 -1892 	     -6
  -536 	     -6
 -9067 	     -5
 -3446 	     -6
 -1314 	     -6
 -1436 	     -6
  -308 	     -6
 -8768 	     -5
-12998 	     -5
-15113 	     -5
  8941 	      0
-27888 	     -3
-20854 	     -4
  4336 	      0
 -5071 	     -6
-16482 	     -4
-22189 	     -4
  -609 	     -6
 -9605 	     -5
  4556 	      0
 -1770 	     -6
-25060 	     -4
  3332 	      0
 12151 	      1
 14355 	      1
 26015 	      2
 18372 	      1
 14549 	      1
  9495 	      0
 -1708 	     -6
-16195 	     -4
-19818 	     -4
 -9499 	     -5
-15428 	     -5
  6047 	      0
 -3975 	     -6
  6613 	      0
  3743 	      0
  6362 	      0
 17323 	      1
 15247 	      1
  8033 	      0
-30145 	     -3
 14343 	      1
 12911 	      1
 12194 	      1
   639 	      0
 -1251 	     -6
  -216 	     -6
-30891 	     -3
-22960 	     -4
  9276 	      0
 -1295 	     -6
 -2353 	     -6
 26453 	      2
 -3541 	     -6
-28744 	     -3
 26197 	      2
 -5461 	     -6
 -8602 	     -5
-10173 	     -5
  8226 	      0
 11929 	      1
  2671 	      0
-26729 	     -3
  7194 	      0
 10316 	      1
 16004 	      1
 19578 	      1
 12807 	      1
  7017 	      0
 -2076 	     -6
  -629 	     -6
-10151 	     -5
   457 	      0
 30845 	      3
 -3368 	     -6
  8326 	      0
